label,rollout,env_id,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,max_pallet_disp_xy,max_hold_counter,episode_length,timeout,mean_abs_drive_raw,mean_abs_steer_raw,mean_abs_drive_applied,mean_abs_steer_applied,max_abs_steer_raw,steer_signflips
exp83_zero_steer_r1_seed44_iter100,1,15,1,1,1,1,1,0,1.4092199307924602e-05,9.0,89,0,0.3884912133216858,0.007414618972688913,0.3884912133216858,0.0,0.008924398571252823,0
exp83_zero_steer_r1_seed44_iter100,2,0,1,1,1,1,1,0,1.6153270507857087e-06,9.0,164,0,0.3794310688972473,0.00701431930065155,0.3794310688972473,0.0,0.010684821754693985,0
exp83_zero_steer_r1_seed44_iter100,2,1,1,1,1,1,1,0,9.764556807567715e-07,9.0,54,0,0.3741319179534912,0.006310517434030771,0.3741319179534912,0.0,0.007737947627902031,0
exp83_zero_steer_r1_seed44_iter100,2,2,1,1,1,1,1,0,3.010404725500848e-06,9.0,81,0,0.367710679769516,0.006134566850960255,0.367710679769516,0.0,0.008549204096198082,0
exp83_zero_steer_r1_seed44_iter100,2,3,1,1,1,1,1,0,0.0007774940459057689,9.0,64,0,0.3728603422641754,0.006478793919086456,0.3728603422641754,0.0,0.008534373715519905,0
exp83_zero_steer_r1_seed44_iter100,2,4,1,1,1,1,1,0,3.0666808470414253e-07,9.0,53,0,0.37536635994911194,0.0065844361670315266,0.37536635994911194,0.0,0.008058544248342514,0
exp83_zero_steer_r1_seed44_iter100,2,5,1,1,1,1,1,0,0.0039904071018099785,9.0,66,0,0.3701287508010864,0.0070180222392082214,0.3701287508010864,0.0,0.009429071098566055,0
exp83_zero_steer_r1_seed44_iter100,2,6,1,1,1,1,1,0,3.192833730736311e-07,9.0,43,0,0.3860557973384857,0.006914037745445967,0.3860557973384857,0.0,0.008319269865751266,0
exp83_zero_steer_r1_seed44_iter100,2,7,1,1,1,1,1,0,6.729724191245623e-07,9.0,108,0,0.37428903579711914,0.006342943757772446,0.37428903579711914,0.0,0.011432599276304245,0
exp83_zero_steer_r1_seed44_iter100,2,8,1,1,1,1,1,0,4.983810140402056e-05,9.0,83,0,0.3640013337135315,0.005766876507550478,0.3640013337135315,0.0,0.008705880492925644,0
exp83_zero_steer_r1_seed44_iter100,2,9,1,1,1,1,1,0,0.0011462876573204994,9.0,158,0,0.38021764159202576,0.006955226883292198,0.38021764159202576,0.0,0.011191153898835182,0
