label,mode,rep,seed,grid_x_root,grid_y_m,grid_yaw_deg,init_x_root_actual,init_y_root_actual,init_yaw_deg_actual,success,ever_inserted,ever_inserted_push_free,ever_hold_entry,ever_clean_insert_ready,ever_dirty_insert,timeout,episode_length,max_pallet_disp_xy,max_hold_counter,min_dist_front,mean_abs_drive_raw,mean_abs_steer_raw,max_abs_steer_raw
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.1,0.0,-3.4000000953674316,-0.10000000149011612,0.0,1,1,1,1,1,0,0,165,0.008922596462070942,9.0,0.0,0.39205482602119446,0.006854458246380091,0.007093008607625961
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.05,0.0,-3.4000000953674316,-0.05000000074505806,0.0,1,1,1,1,1,0,0,162,0.00033601801260374486,9.0,0.0,0.3919130563735962,0.006824756972491741,0.00710599310696125
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.0,0.0,-3.4000000953674316,0.0,0.0,1,1,1,1,1,0,0,162,1.4542365533998236e-06,9.0,0.0,0.3923395574092865,0.006866744253784418,0.007105536758899689
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.05,0.0,-3.4000000953674316,0.05000000074505806,0.0,1,1,1,1,1,0,0,162,2.8176596970297396e-05,9.0,0.0,0.39225876331329346,0.006892976351082325,0.0070322491228580475
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.1,0.0,-3.4000000953674316,0.10000000149011612,0.0,1,1,0,1,0,1,0,183,0.15422827005386353,9.0,0.0,0.3923179507255554,0.006856962572783232,0.007048346102237701
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.1,2.0,-3.4000000953674316,-0.10000000149011612,1.9999997710638548,1,1,1,1,1,0,0,162,0.0011438577203080058,9.0,0.0,0.39227256178855896,0.006866917945444584,0.007103152573108673
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.05,2.0,-3.4000000953674316,-0.05000000074505806,1.9999997710638548,1,1,1,1,1,0,0,162,1.869780317065306e-05,9.0,0.0,0.3919515907764435,0.006876134779304266,0.007085079327225685
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.0,2.0,-3.4000000953674316,0.0,1.9999997710638548,1,1,1,1,1,0,0,165,0.04288812354207039,9.0,0.0,0.3921582102775574,0.006867610849440098,0.007053907960653305
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.05,2.0,-3.4000000953674316,0.05000000074505806,1.9999997710638548,1,1,0,1,0,1,0,413,2.116501808166504,9.0,0.0,0.39255350828170776,0.006790011189877987,0.007056655362248421
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.1,2.0,-3.4000000953674316,0.10000000149011612,1.9999997710638548,0,0,0,0,0,0,1,1079,8.578734397888184,0.0,0.01388692855834961,0.392494797706604,0.006704373750835657,0.007040038704872131
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.1,4.0,-3.4000000953674316,-0.10000000149011612,3.9999995421277097,1,1,0,1,0,1,0,173,0.08775213360786438,9.0,0.0,0.3920261859893799,0.0068659172393381596,0.00706234946846962
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,-0.05,4.0,-3.4000000953674316,-0.05000000074505806,3.9999995421277097,1,1,0,1,0,1,0,376,1.7957043647766113,9.0,0.0,0.3922882676124573,0.006768516264855862,0.007154105231165886
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.0,4.0,-3.4000000953674316,0.0,3.9999995421277097,0,0,0,0,0,0,1,1079,8.56193733215332,0.0,0.013842940330505371,0.3925762474536896,0.006764499470591545,0.006975984200835228
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.05,4.0,-3.4000000953674316,0.05000000074505806,3.9999995421277097,0,0,0,0,0,0,1,1079,8.589751243591309,0.0,0.013909339904785156,0.39246615767478943,0.006688758730888367,0.007001480087637901
exp83_grid_r1_seed44_iter100,normal,0,20260327,-3.4,0.1,4.0,-3.4000000953674316,0.10000000149011612,3.9999995421277097,0,0,0,0,0,0,1,1079,8.557476997375488,0.0,0.013855695724487305,0.39285576343536377,0.006782942451536655,0.006946723908185959
